,Control,L16,L20,L36,L9,L32,L33,L31,L26,L30,L2,L12,L40,L29,L34,L21,L19,L4,L1,L18,L3,L27,L8,L25,L28,L11,L7,L17,L14,L38,L23,L10,L15,L22,L24,L6,L13,L37,L35,L5,L39,taxonomy,chn,location
ASV_164,0,0,0,0,0,32,0,0,32,39,124,0,0,0,241,0,0,0,0,0,11,93,0,539,0,7,0,0,0,0,23,289,0,0,0,0,60,174,0,0,0,Metazoa; Chordata; Actinopteri; Gobiiformes; Odontobutidae; Micropercops; Micropercops swinhonis,小黄黝鱼,
ASV_128,0,0,0,0,576,0,0,0,36,508,15,0,0,0,25,0,0,0,0,287,71,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Metazoa; Chordata; Actinopteri; Gobiiformes; Odontobutidae; Odontobutis; Odontobutis potamophila,河川沙塘鳢,
ASV_59,0,0,0,0,0,2,7,9,233,0,0,0,2,1278,2,0,6,0,46,1049,6,36,13,6,6,7,0,288,349,73,0,0,71,0,10,657,0,242,94,0,56,Metazoa; Chordata; Actinopteri; Mugiliformes; Mugilidae; Mugil; Mugil cephalus,鲻,
ASV_40,0,14,19,3,7,8,67,6319,1269,12,12,25,0,6,26,0,8,0,5,9,14,1833,19,8,13,0,17,8,15,8,6,11,5,21,4,6,27,821,307,8,225,Metazoa; Chordata; Actinopteri; Mugiliformes; Mugilidae; Liza; Liza carinata,棱鮻,
ASV_32,6,18,22,127,12,20,557,14097,1818,105,35,39,5,11,3,34,11,23,2,24,35,451,30,8,154,29,29,9,39,286,8,15,25,29,20,15,41,563,3,23,2580,Metazoa; Chordata; Actinopteri; Mugiliformes; Mugilidae; Planiliza; Planiliza macrolepis,大鳞鮻,
ASV_30,1,433,36,3,7,105,8052,28,81,1334,23,25,4,2595,9,23,514,16,6,377,9,294,38,534,921,17,14,1256,31,213,17,27,15,369,15,10,29,4,112,0,0,Metazoa; Chordata; Actinopteri; Mugiliformes; Mugilidae; Planiliza; Planiliza haematocheilus,鮻,
ASV_337,0,0,0,0,0,0,0,221,0,0,0,0,0,0,17,0,0,0,0,0,0,53,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Metazoa; Chordata; Actinopteri; Mugiliformes; Mugilidae; Valamugil; Valamugil speigleri,斯氏凡鲻,
ASV_16,321,1449,2072,380,1716,1154,2773,4043,989,5552,4178,927,854,588,1093,77,3973,3959,207,1665,1479,1593,2089,393,979,1283,1380,858,1544,3122,1504,1894,397,992,873,76,1369,549,493,473,308,Metazoa; Chordata; Actinopteri; Cypriniformes; Cyprinidae; Carassius; Carassius auratus,鲫,
ASV_39,3,10,13,3,0,0,0,6180,308,8,0,15,870,6,3,0,0,0,0,7,5,4,13,0,0,7,0,0,18,146,5,0,6,0,8,0,13,11,0,0,130,Metazoa; Chordata; Actinopteri; Perciformes; Ambassidae; Ambassis; Ambassis gymnocephalus,眶棘双边鱼,
ASV_56,1,8,19,0,216,0,4,0,3,7,0,0,2,0,0,0,0,0,0,0,5,0,15,3,0,9,0,0,0,0,0,4883,0,0,7,8,63,0,1,0,0,Metazoa; Chordata; Actinopteri; Perciformes; Serranidae; Epinephelus; Epinephelus fuscoguttatus,褐点石斑鱼,
ASV_121,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332,0,0,0,0,0,0,0,649,0,2,0,0,Metazoa; Chordata; Actinopteri; Pleuronectiformes; Cynoglossidae; Cynoglossus; Cynoglossus bilineatus,双线舌鳎,
ASV_147,0,0,0,0,0,0,0,0,0,419,0,0,0,0,0,11,0,0,0,359,0,0,0,0,0,254,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,Metazoa; Chordata; Actinopteri; Scombriformes; Stromateidae; Pampus; Pampus argenteus,银鲳,
ASV_482,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,24,0,0,61,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,Metazoa; Chordata; Actinopteri; Scombriformes; Trichiuridae; Trichiurus; Trichiurus japonicus,日本带鱼,
ASV_118,0,0,0,0,50,0,0,0,35,302,0,0,0,0,0,322,0,0,0,327,15,73,28,0,0,197,20,0,0,0,0,307,0,0,47,0,47,0,1,0,0,Metazoa; Chordata; Actinopteri; Siluriformes; Bagridae; Tachysurus; Tachysurus fulvidraco,黄颡鱼,
ASV_58,2,1132,1252,5,837,4,9,12,4,279,1181,17,3,7,3,101,10,205,2,14,12,10,262,273,12,262,78,8,320,6,10,3490,282,1877,42,18,375,4,1,84,4,Metazoa; Chordata; Actinopteri; Siluriformes; Clariidae; Clarias; Clarias fuscus,胡子鲇,
ASV_52,0,19,796,4,68,6,15,13,11,24,536,1662,5,9,10,1234,215,334,556,17,23,17,4880,7,12,24,3357,7,888,11,13,408,688,994,19,10,409,6,2,15,10,Metazoa; Chordata; Actinopteri; Siluriformes; Clariidae; Clarias; Clarias gariepinus,革胡子鲶,invasive
ASV_19,2,54,101,19,526,26,44,49,23,48,5380,10185,17,647,12,10061,1444,1866,104,1099,2237,49,3148,39,98,740,107,889,2837,32,33,1137,1545,6345,1259,868,541,19,11,183,3,Metazoa; Chordata; Actinopteri; Siluriformes; Loricariidae; Pterygoplichthys; Pterygoplichthys disjunctivus,脂身鲶,invasive
