"OTUId","L1","L10","L11","L13","L14","L15","L16","L17","L18","L2","L23","L24","L25","L26","L27","L28","L29","L3","L30","L31","L32","L33","L34","L35","L36","L37","L38","L39","L4","L40","L5","L6","PM201阴性","PM201质粒","PM201mix样品","THERMO质粒","YESEN质粒","YESENmix样品","taxonomy"
"OTU_156",0,50,34,0,0,79,107,0,0,3,93,99,247,44,0,43,57,0,96,215,12,7,2,3,5,5,0,180,3,1,0,18,4,0,185,0,0,177,"Animalia; Mollusca; Bivalvia; Mytioida; Mytilidae; Limnoperna; Limnoperna fortunei"
"OTU_157",3,0,2,0,0,0,0,1,0,0,0,0,2,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Unknown"
"OTU_158",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,"Unknown"
"OTU_159",3,6,1,6,10,2,1,4,3,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Metazoa; Chordata; NA; NA; NA; NA; NA"
"OTU_16",2,19,93,1359,448,74,37,168,8,544,0,104,0,17,1,148,58,650,41,24,18,55,13,0,70,6,1,2,79,0,209,50,0,0,3,0,0,14,"Metazoa; Chordata; Actinopteri; Cichliformes; Cichlidae; Oreochromis; Oreochromis niloticus"
"OTU_160",1,0,0,28,6,6,0,0,1,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,"Unknown"
"OTU_161",0,0,0,0,0,2,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,6,0,0,0,"Metazoa; Chordata; Mammalia; Artiodactyla; Bovidae; Bos; NA"
"OTU_162",6,2,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,"Animalia; Chordata; Actinopterygii; Lepisosteiformes; Lepisosteidae; Atractosteus; Atractosteus spatula"
"OTU_163",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,"Metazoa; Chordata; Mammalia; NA; NA; NA; NA"
"OTU_164",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,"Metazoa; Chordata; Actinopteri; Cypriniformes; Xenocyprididae; NA; NA"
"OTU_165",0,10,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Metazoa; Chordata; Actinopteri; Siluriformes; Loricariidae; Pterygoplichthys; Pterygoplichthys pardalis"
"OTU_166",1,2,1,2,3,2,1,1,2,0,1,0,0,0,2,3,2,6,0,3,0,3,2,0,0,0,0,1,0,3,1,0,0,0,1,0,0,0,"Metazoa; NA; NA; NA; NA; NA; NA"
